"","Site","Substrate","Taxa","value"
"471","Washington","PVC","Planctomycetes_unclassified",0
"472","Higgins Creek","PVC","Planctomycetes_unclassified",0
"473","N Br Chicago R","PVC","Planctomycetes_unclassified",0.0222222222222222
"474","Springbrook Creek","PVC","Planctomycetes_unclassified",0
"475","Arizona","Foam","Planctomycetes_unclassified",0.0666666666666667
"476","Maryland","Foam","Planctomycetes_unclassified",0
"477","Washington","Foam","Planctomycetes_unclassified",0
"478","Higgins Creek","Foam","Planctomycetes_unclassified",0
"479","N Br Chicago R","Foam","Planctomycetes_unclassified",0
"480","Springbrook Creek","Foam","Planctomycetes_unclassified",0
"481","Arizona","Tile","Planctomycetes_unclassified",0.0222222222222222
"482","Maryland","Tile","Planctomycetes_unclassified",0.2
"483","Washington","Tile","Planctomycetes_unclassified",0
"484","Higgins Creek","Tile","Planctomycetes_unclassified",0
"485","N Br Chicago R","Tile","Planctomycetes_unclassified",0
"486","Springbrook Creek","Tile","Planctomycetes_unclassified",0
"487","Arizona","PVC","Proteobacteria_unclassified",0.0152905198776758
"488","Maryland","PVC","Proteobacteria_unclassified",0.00191131498470948
"489","Washington","PVC","Proteobacteria_unclassified",0.00191131498470948
"490","Higgins Creek","PVC","Proteobacteria_unclassified",0.00668960244648318
"491","N Br Chicago R","PVC","Proteobacteria_unclassified",0.0728211009174312
"492","Springbrook Creek","PVC","Proteobacteria_unclassified",0.0229357798165138
"493","Arizona","Foam","Proteobacteria_unclassified",0.0460626911314985
"494","Maryland","Foam","Proteobacteria_unclassified",0.00668960244648318
"495","Washington","Foam","Proteobacteria_unclassified",0.00114678899082569
"496","Higgins Creek","Foam","Proteobacteria_unclassified",0.0043960244648318
"497","N Br Chicago R","Foam","Proteobacteria_unclassified",0.0724388379204893
"498","Springbrook Creek","Foam","Proteobacteria_unclassified",0.00840978593272171
"499","Arizona","Tile","Proteobacteria_unclassified",0.00783639143730887
"500","Maryland","Tile","Proteobacteria_unclassified",0.00802752293577982
"501","Washington","Tile","Proteobacteria_unclassified",0.00095565749235474
"502","Higgins Creek","Tile","Proteobacteria_unclassified",0.00840978593272171
"503","N Br Chicago R","Tile","Proteobacteria_unclassified",0.0376529051987768
"504","Springbrook Creek","Tile","Proteobacteria_unclassified",0.00974770642201835
"505","Arizona","PVC","Verrucomicrobia_unclassified",0.111111111111111
"506","Maryland","PVC","Verrucomicrobia_unclassified",0
"507","Washington","PVC","Verrucomicrobia_unclassified",0
"508","Higgins Creek","PVC","Verrucomicrobia_unclassified",0
"509","N Br Chicago R","PVC","Verrucomicrobia_unclassified",0
"510","Springbrook Creek","PVC","Verrucomicrobia_unclassified",0
"511","Arizona","Foam","Verrucomicrobia_unclassified",0
"512","Maryland","Foam","Verrucomicrobia_unclassified",0
"513","Washington","Foam","Verrucomicrobia_unclassified",0
"514","Higgins Creek","Foam","Verrucomicrobia_unclassified",0
"515","N Br Chicago R","Foam","Verrucomicrobia_unclassified",0
"516","Springbrook Creek","Foam","Verrucomicrobia_unclassified",0
"517","Arizona","Tile","Verrucomicrobia_unclassified",0.222222222222222
"518","Maryland","Tile","Verrucomicrobia_unclassified",0
"519","Washington","Tile","Verrucomicrobia_unclassified",0
"520","Higgins Creek","Tile","Verrucomicrobia_unclassified",0
"521","N Br Chicago R","Tile","Verrucomicrobia_unclassified",0
"522","Springbrook Creek","Tile","Verrucomicrobia_unclassified",0
"523","Arizona","PVC","Verrucomicrobiae",0.0523789527708763
"524","Maryland","PVC","Verrucomicrobiae",0.001137278230745
"525","Washington","PVC","Verrucomicrobiae",0.000250784430369411
"526","Higgins Creek","PVC","Verrucomicrobiae",0.0129008176738869
"527","N Br Chicago R","PVC","Verrucomicrobiae",0.0419218252440774
"528","Springbrook Creek","PVC","Verrucomicrobiae",0.00258366285241045
"529","Arizona","Foam","Verrucomicrobiae",0.0535862173542826
"530","Maryland","Foam","Verrucomicrobiae",0.00421667774783917
"531","Washington","Foam","Verrucomicrobiae",5.83219605510259e-05
"532","Higgins Creek","Foam","Verrucomicrobiae",0.00667203228703736
"533","N Br Chicago R","Foam","Verrucomicrobiae",0.0256849914266718
"534","Springbrook Creek","Foam","Verrucomicrobiae",0.00179048418891649
"535","Arizona","Tile","Verrucomicrobiae",0.0468850240869697
"536","Maryland","Tile","Verrucomicrobiae",0.00155136415065729
"537","Washington","Tile","Verrucomicrobiae",2.91609802755129e-05
"538","Higgins Creek","Tile","Verrucomicrobiae",0.0170066836966791
"539","N Br Chicago R","Tile","Verrucomicrobiae",0.0634659574716264
"540","Springbrook Creek","Tile","Verrucomicrobiae",0.00120726458340624
